Datetime,Water Level (m)
2023-02-09 18:00:00,0.11285614
2023-02-09 19:00:00,0.3962475
2023-02-09 20:00:00,0.54571694
2023-02-09 21:00:00,0.5100466
2023-02-09 22:00:00,0.25133246
2023-02-09 23:00:00,-0.087956384
2023-02-10 00:00:00,-0.30760542
2023-02-10 01:00:00,-0.4569239
2023-02-10 02:00:00,-0.57721263
2023-02-10 03:00:00,-0.6967044
2023-02-10 04:00:00,-0.7975227
2023-02-10 05:00:00,-0.6860285
2023-02-10 06:00:00,-0.18705401
2023-02-10 07:00:00,0.18931633
2023-02-10 08:00:00,0.38088137
2023-02-10 09:00:00,0.3833317
2023-02-10 10:00:00,0.20259354
2023-02-10 11:00:00,-0.115319304
2023-02-10 12:00:00,-0.3435409
2023-02-10 13:00:00,-0.49297556
2023-02-10 14:00:00,-0.6064196
2023-02-10 15:00:00,-0.70177406
2023-02-10 16:00:00,-0.77077466
2023-02-10 17:00:00,-0.62676215
2023-02-10 18:00:00,-0.15589033
2023-02-10 19:00:00,0.21597727
2023-02-10 20:00:00,0.43816176
2023-02-10 21:00:00,0.4807814
2023-02-10 22:00:00,0.32092443
2023-02-10 23:00:00,-0.02667521
2023-02-11 00:00:00,-0.28831345
2023-02-11 01:00:00,-0.45913056
2023-02-11 02:00:00,-0.5864248
2023-02-11 03:00:00,-0.69783604
2023-02-11 04:00:00,-0.8054143
2023-02-11 05:00:00,-0.8313552
2023-02-11 06:00:00,-0.50430524
2023-02-11 07:00:00,-0.06641623
2023-02-11 08:00:00,0.20788902
2023-02-11 09:00:00,0.3311415
2023-02-11 10:00:00,0.29386392
2023-02-11 11:00:00,0.08029117
2023-02-11 12:00:00,-0.2176981
2023-02-11 13:00:00,-0.4142795
2023-02-11 14:00:00,-0.54944086
2023-02-11 15:00:00,-0.6457172
2023-02-11 16:00:00,-0.72295475
2023-02-11 17:00:00,-0.7167994
2023-02-11 18:00:00,-0.3610235
2023-02-11 19:00:00,0.039999794
2023-02-11 20:00:00,0.2972112
2023-02-11 21:00:00,0.40420943
2023-02-11 22:00:00,0.34574795
2023-02-11 23:00:00,0.09330137
2023-02-12 00:00:00,-0.2050392
2023-02-12 01:00:00,-0.40031102
2023-02-12 02:00:00,-0.54083663
2023-02-12 03:00:00,-0.6534021
2023-02-12 04:00:00,-0.7615224
2023-02-12 05:00:00,-0.83870924
2023-02-12 06:00:00,-0.7292594
2023-02-12 07:00:00,-0.31513423
2023-02-12 08:00:00,0.01556986
2023-02-12 09:00:00,0.21723117
2023-02-12 10:00:00,0.28550595
2023-02-12 11:00:00,0.22171299
2023-02-12 12:00:00,0.006086236
2023-02-12 13:00:00,-0.2543821
2023-02-12 14:00:00,-0.4301536
2023-02-12 15:00:00,-0.5489485
2023-02-12 16:00:00,-0.6297985
2023-02-12 17:00:00,-0.6778605
2023-02-12 18:00:00,-0.57635725
2023-02-12 19:00:00,-0.21065174
